Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m),,Potash,ph,Crop
Areshirur,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.74416667,13.83194444,2.8,21.3,NaN,NaN,4.8,0.11,7.876,NaN,,44,6.149410611,rice
Arge Karwar,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.1625,14.76916667,12.75,13,18,106,31.564,0.23,7.59,NaN,,42,5.950660556,rice
Arkalgud1,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.05833333,12.775,1.5,95,NaN,NaN,34.048,0.6,8.25,NaN,,35,5.960370061,rice
Arkera,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2018,76.95083333,16.275,0,85.2,52,237.9,0,2.5,8.06,NaN,,36,5.561398642,rice
Asnoti,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.15083333,14.88222222,28.1,33,24,93,17.024,0.33,7.56,NaN,,44,7.416245107,rice
AsoduKalavara,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.73916667,13.58944444,4,7.1,NaN,NaN,4.8,0.072,9.899,NaN,,41,5.583370042,rice
Avani,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.32694444,13.10666667,0,39.05,34,183,0,0.255172,7.929,NaN,,36,6.430010215,rice
Ayyangeri,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.5775,12.3525,0,14.2,NaN,NaN,15.808,0.044,7.897,NaN,,43,5.534878156,rice
Baaguru,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.375,13.025,3.8,293,0,0,8.5,0.54,8.38,NaN,,36,6.903985986,rice
Bachenahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.0875,12.33277778,3.2,42.6,46,262.3,46,1.32961,8.178,NaN,,40,6.271478838,rice
Badal,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.60555556,14.425,6.3,34,30,87,35.206,0.23,7.7,NaN,,45,7.224285503,rice
Badami1,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.67777778,15.91666667,13.2,49.7,0,0,12.1,0.3,7.92,NaN,,38,6.13428721,rice
Bagdal,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.41666667,17.75,1.2,188,62,211,30.3,0.503145,7.78,NaN,,42,5.206373153,rice
Bageshpura,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.22777778,13.15,3.5,182,NaN,NaN,66.88,0.28,8.56,NaN,,38,7.782051313,rice
Baindur 1,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.67583333,13.80472222,9.65,1043.7,NaN,NaN,31.564,0.061,8.986,NaN,,39,7.062779015,rice
Bairakur,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.48916667,13.23694444,143.9,301.75,104,237.9,92.264,1.11034,8.132,NaN,,45,7.730367824,rice
Baligatta,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.63722222,12.74861111,111.45,99.4,86,122,43.704,0.644737,8.351,NaN,,43,5.286203711,rice
Ballamavathu,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,75.88111111,12.17166667,1.4,21.3,NaN,NaN,29,0.076,7.886,NaN,,39,6.766240045,rice
Banavasi,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2018,75.01888889,14.53416667,1.5,57,40,117,32.3,0.36,7.82,NaN,,42,7.382762603,rice
Bandal,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.66666667,14.53333333,12.9,66,50,109.836,92.41,0.56,7.9,NaN,,43,5.658169482,rice
Bandi,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Lower,2018,76.05833333,15.73333333,9.1,220.1,NaN,NaN,150.784,1.1,7.896,6.93,,36,5.543360238,rice
Banhatti,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.13194444,16.47916667,13.25,142,NaN,NaN,30.35,1.16,8.135,NaN,,39,6.215109715,rice
Bannikoppa,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Upper,2018,75.94055556,15.38055556,63.6,773.9,NaN,NaN,148.352,0.91,7.734,NaN,,38,7.120272972,rice
Bantkal,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.79555556,13.25194444,18,21.3,NaN,NaN,33.9,0.03,9.034,NaN,,45,5.950647577,rice
Bargi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.40416667,14.525,16.3,36,16,63,31.564,0.29,7.6,NaN,,40,7.236705436,rice
Basapur,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2018,75.38333333,15.46666667,4.1,14.2,10,134.2,32.778,1.09836,8.055,NaN,,35,6.501697816,rice
Basapur2,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Lower,2018,76.25,15.36666667,4.7,262.7,NaN,NaN,17.02,0.62,7.793,NaN,,38,7.592490617,rice
Basaralu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.78333333,12.71666667,16.8,667.4,100,195.2,65.556,0.173184,8.054,NaN,,45,5.875345751,rice
Basavanabail,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.78194444,14.25555556,2.6,22,20,78,29.1,0.19,7.39,NaN,,38,6.932400225,rice
Basavanahalli A,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.85,12.25,10.1,92.3,NaN,NaN,48.64,0.36,8.152,NaN,,42,6.946209881,rice
Basavanapura,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.99166667,12.56666667,22.3,284,94,396.5,75.39,0.789474,7.8,NaN,,42,5.739175027,rice
Basavapatna1,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.12083333,12.6125,153.3,141,NaN,NaN,57.152,0.15,8.38,NaN,,36,6.738652179,rice
Basavapur,CGWB,Karnataka,Gadag,Krishna Basin,Tungabhadra Upper,2018,75.83361111,15.19583333,33.5,53.25,48,146.4,36.42,0.893939,8.146,8.35,,37,5.594819626,rice
Belagalli,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2018,75.15166667,16.38388889,4.7,71,NaN,NaN,4.84,0.52,8.502,NaN,,35,6.946636369,rice
Belamagi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.74472222,17.64083333,8.5,241.4,0,0,36.42,0.31,8.012,NaN,,41,5.012139669,rice
Belavaniki,CGWB,Karnataka,Gadag,Krishna Basin,Krishna Upper,2018,75.56666667,15.66666667,40.2,42.6,24,164.7,138.624,1.20455,8.329,NaN,,37,6.363472208,rice
Belekeri,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.26666667,14.725,2.8,17,20,60,7.3,0.33,7.83,NaN,,41,6.880431223,rice
Belur1,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.88333333,13.16666667,110.4,194,NaN,NaN,9.728,0.45,8.47,NaN,,38,7.300410836,rice
Benguru 50 Okallu,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.65472222,12.3525,3.5,21.3,0,0,18.21,0.097,7.847,NaN,,37,6.587918708,rice
Bettagiri,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.68666667,12.35222222,3,14.2,NaN,NaN,40.128,0.17,7.929,NaN,,42,7.283736617,rice
Bevahalli,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.33,13.21,1.9,88.75,48,207.4,7.3,0.448276,7.966,NaN,,36,7.023936392,rice
Bevinahalli,CGWB,Karnataka,Kolar,Pennar Basin,Pennar Upper,2018,77.47083333,13.49166667,3.4,99.4,NaN,NaN,9.728,1,8.282,NaN,,45,6.939083505,rice
Bhagamandala1,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.53333333,12.38333333,2.8,28.4,NaN,NaN,8.5,0.061,7.804,NaN,,44,7.868474653,rice
Bhagavathi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.75638889,15.16111111,0,42,38,140.346,54.72,0.33,7.78,NaN,,38,5.005306977,rice
Bhalki1,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.28333333,18.1,2.3,214,68,185,8.5,0.45283,7.94,NaN,,37,6.136131869,rice
Bharati Nagar,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.03472222,12.4675,3.5,241.4,102,201.3,27.7,0.692737,8.104,NaN,,38,7.524080076,rice
Bhatkal1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.55,13.98333333,2.1,41,24,136,8.5,0.28,7.43,NaN,,43,5.706943251,rice
Biccodu A,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,75.86361111,13.07777778,599.5,269,NaN,NaN,97.12,0.12,7.87,NaN,,35,5.758506323,rice
Bidar1,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.52361111,17.91333333,15.6,62,30,116,77.82,1.00629,7.92,NaN,,43,6.349606327,rice
Bidnal,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,75.16666667,15.3,2.9,298.2,54,140.3,33.8,0.606557,8.154,NaN,,39,5.999969026,rice
Bidurmalai Koppalu,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.03888889,12.76805556,4.6,74,NaN,NaN,63.2,0.7,8.44,NaN,,39,5.453592032,rice
Bijaspur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2018,76.81666667,16.56666667,2.4,255.6,NaN,NaN,34.048,1.2,7.824,NaN,,38,6.372576327,rice
Bilidegilu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.86666667,12.625,22.5,67.45,34,207.4,46.2,0.363128,8.291,NaN,,38,5.105588355,rice
Bindiganavale,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.63611111,12.87805556,4.9,262.7,112,488,87.5,0.73743,8.296,NaN,,44,5.935344406,rice
Bittangala,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,75.84333333,12.16722222,1.9,21.3,NaN,NaN,50.988,0.1,7.905,NaN,,42,5.17782304,rice
Bolashettihal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2018,76.50722222,16.39055556,9.05,184.6,NaN,NaN,26.708,1.2,7.98,NaN,,40,6.462391607,rice
Bommenanahalli,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Lower,2018,76.26166667,14.21916667,2.5,195.25,32,195.2,6.1,0.502793,8.5,NaN,,38,7.069172227,rice
Borala,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.425,18.21138889,2.8,71,44,142,35,0.534591,8.08,NaN,,38,7.473134377,rice
Borgi,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.04027778,18.03111111,9,56,34,166,18.21,0.509434,8.01,NaN,,35,6.158376967,rice
Budaluru,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2018,76.18444444,12.60083333,2.4,247,NaN,NaN,38.912,1.7,8.79,NaN,,38,7.549873681,rice
Buddinni,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2018,76.78333333,16.2,2.7,14.2,28,469.7,10.8,1.1,7.95,NaN,,36,6.028321558,rice
Budikote,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,2018,78.13166667,12.90527778,2.8,351.45,48,579.5,10.9,1.08276,7.854,NaN,,42,6.604993475,rice
Bydarahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.755,12.50333333,12.35,102.95,88,475.8,19.424,0.815789,8.098,NaN,,37,6.500343222,rice
Chabbi,CGWB,Karnataka,Gadag,Krishna Basin,Tungabhadra Upper,2018,75.59166667,15.1625,4.3,301.75,20,262.3,20.6,0.69697,8.134,NaN,,45,5.935745417,rice
Changler1,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.4,17.63333333,9.9,44,40,159,16.9,0.496855,8.06,NaN,,44,7.072655622,rice
Chapura Doddi,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.02027778,12.62222222,52.4,78.1,50,408.7,64.448,0.396648,8.036,NaN,,40,5.333322606,rice
Chattahalli,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.83611111,12.36527778,0,49.7,NaN,NaN,18.24,0.16,8.082,NaN,,16,5.749914421,maize
Cheerambane,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.91805556,12.4375,0,35.5,NaN,NaN,31.616,0.053,8.268,NaN,,17,6.931756558,maize
Chettimani,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.575,12.37777778,5.3,21.3,NaN,NaN,218.88,0.048,7.413,NaN,,16,6.657964753,maize
Cheyyandane,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.69166667,12.22777778,4.9,42.6,NaN,NaN,101.976,0.068,7.811,NaN,,21,6.596060648,maize
Chigerahalli,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.76111111,16.88611111,9.65,163.3,NaN,NaN,32.778,0.78,8.172,NaN,,20,5.970458434,maize
Chikapalya,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.76972222,12.40861111,13,120.7,72,298.9,10.9,0.467105,8.038,NaN,,16,6.158830619,maize
Chikbergi,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2018,76.50555556,15.75833333,2.45,63.9,76,237.9,29.136,0.61,7.96,NaN,,17,6.047906679,maize
Chikka Arasinkere,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,77.03388889,12.5175,18.35,266.25,90,286.7,82.552,0.888268,7.972,NaN,,19,5.913664501,maize
Chikkahonakuni,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2018,76.99166667,16.06666667,8.7,63.9,28,250.1,82.688,3,8.35,NaN,,17,5.855442401,maize
Chikksarur,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2018,76.63722222,16.11083333,3.7,127.8,36,353.8,45.9,1.3,8.21,NaN,,25,5.750254943,maize
Chincherki,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2018,76.78805556,16.20111111,72,135,32,231.8,128.684,0.82,8.4,NaN,,19,5.852607099,maize
Chincholi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.42083333,17.41666667,3.5,191.7,NaN,NaN,21.8,0.33,7.689,NaN,,21,6.472523287,maize
Chintamani,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.05833333,13.4,6.95,418.9,126,536.8,44.918,0.806897,7.76,NaN,,16,6.967057762,maize
Chitapur A,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,77.06972222,17.11666667,2.95,21.3,NaN,NaN,10.926,0.16,7.784,NaN,,16,6.082973754,maize
Chitradurga1,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Lower,2018,76.4,14.21666667,3.2,127.8,16,201.3,10.944,1.14525,8.588,NaN,,21,5.919045532,maize
Choudepur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.54166667,17.24166667,0,56.8,NaN,NaN,0,1.7,8.096,NaN,,22,6.204747653,maize
Dandeli Dw,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.62583333,15.24194444,78.6,30,24,102,214.016,0.32,7.51,NaN,,17,6.600827017,maize
Darasaguppe,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.69138889,12.45333333,3,223.65,98,134.2,59.3,0.684211,7.993,NaN,,17,6.021902237,maize
Darga Sirur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.74472222,17.64083333,3.1,106.5,NaN,NaN,9.7,1.6,8.208,NaN,,19,6.033550195,maize
Dass Hadagali,CGWB,Karnataka,Gadag,Krishna Basin,Krishna Upper,2018,75.67916667,15.62083333,0,1806.95,84,359.9,0,0.909091,8.565,NaN,,19,6.28886807,maize
Deevalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.55416667,14.41694444,3.7,37,28,94,2.4,0.28,7.58,NaN,,21,6.550563823,maize
Devalapura,CGWB,Karnataka,Chamarajanagar,Cauvery Basin,Cauvery Middle,2018,76.81666667,11.84166667,3.5,28.4,NaN,NaN,8.5,0.4,8.674,8.59,,15,5.573286437,maize
Devarakolli,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,75.63944444,12.44944444,3.8,28.4,NaN,NaN,9.7,0.072,7.714,NaN,,22,6.829199275,maize
Devarapura,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2018,75.92916667,12.17916667,0,106.5,NaN,NaN,0,0.18,8.1,NaN,,21,5.716222912,maize
Devarayasamudra,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2018,78.3,13.12361111,0,181.05,88,433.1,0,0.151724,8.14,NaN,,16,5.54990242,maize
Devathkall,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2018,76.63333333,16.46666667,35.2,355,NaN,NaN,51.072,0.44,7.82,NaN,,16,6.586244581,maize
Devegowdana Koppalu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2018,76.69444444,12.4975,21.1,35.5,60,262.3,31.564,0.539474,7.897,NaN,,18,5.893093135,maize
Devikop,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.93333333,15.13333333,4.2,106.5,52,268.4,1.2,0.31694,8.06,NaN,,15,5.918263801,maize
Dhareshwara,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.41194444,14.36833333,0,24,20,85.428,0,0.37,7.93,NaN,,22,5.588650585,maize
Dharwad A,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2018,75.02111111,15.47,0.6,42.6,30,109.8,37.51,0.191257,8.068,NaN,,20,6.576418207,maize
Dhundshi,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2018,75.5,14.7,12.3,42.6,NaN,NaN,16,0.33,8.375,NaN,,25,6.178056304,maize
Dibbanagal,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2018,74.53055556,14.26388889,374.6,27,18,42.714,72.9,0.22,7.41,NaN,,19,6.641906353,maize
Doddashivara,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,2018,77.98472222,13.03472222,252,422.45,130,146.4,338,1.51724,7.4,NaN,,25,6.489040367,maize
Dodmane,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2018,74.70416667,14.3625,0,53,38,137,0,0.37,7.57,NaN,,23,5.680361038,maize
Dongargaon,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2018,77.25833333,18.25833333,3.6,78,34,193,1.2,0.72327,9.23,NaN,,22,6.625404348,maize
Doranahalli,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2018,76.85,16.74166667,1.7,106.5,NaN,NaN,14.5,0.63,8.006,NaN,,21,6.524478032,maize
